"state","county","flyway","flock_type","species","subtype","date","flock_size"
"Iowa","Clay","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-01,93000
"Iowa","Buena Vista","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-01,4910600
"Iowa","Buena Vista","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-01,29600
"Iowa","Buena Vista","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-30,25700
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-30,11200
"Iowa","Buena Vista","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-30,449100
"Iowa","Buena Vista","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-30,40800
"Wisconsin","Barron","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-30,96500
"Minnesota","Stearns","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-29,202500
"Iowa","Buena Vista","Misssissippi","Commercial","turkey","EA/AM-H5N2",2015-04-29,36400
"Minnesota","Swift","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,18000
"Minnesota","Steele","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,82900
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,45100
"Iowa","Sioux","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-28,3660000
"Iowa","Osceola","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-28,258000
"Iowa","O'Brien","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-28,98000
"Iowa","O'Brien","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-28,36800
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,8400
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,50900
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,4200
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-28,32100
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-27,26900
"Iowa","Sioux","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-27,1603900
"Wisconsin","Barron","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-27,83300
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-24,33900
"North Dakota","LaMoure","Central","Commercial","mixed poultry","EA/AM-H5N2",2015-04-24,71500
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-24,67000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-24,42900
"Wisconsin","Jefferson","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-24,1031000
"Minnesota","Chippewa","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-24,64900
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-23,54300
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-23,36900
"Minnesota","Clay","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-23,408500
"Wisconsin","Chippewa","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-23,56500
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,62600
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,72500
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,28600
"Minnesota","Pipestone","Mississippi","Backyard","mixed poultry","EA/AM-H5N2",2015-04-22,150
"Minnesota","Otter Tail","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,34500
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,58900
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,34500
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,19100
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-22,62600
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-21,53900
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-21,10700
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-21,34100
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-21,130400
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-21,61000
"Minnesota","Wadena","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-20,301000
"South Dakota","Spink","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-20,33300
"Iowa","Osceola","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-20,3800000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-20,61000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-20,5000
"Minnesota","Cottonwood","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-20,7500
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-17,23000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-17,9000
"Wisconsin","Juneau","Mississippi","Backyard","mixed poultry","EA/AM-H5N2",2015-04-17,33
"Minnesota","Roseau","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-16,26000
"Wisconsin","Barron","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-16,126700
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-15,67000
"South Dakota","Roberts","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-15,66600
"Minnesota","Otter Tail","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-15,21000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-15,152000
"Minnesota","Swift","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-14,154000
"Minnesota","Redwood","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-14,56000
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-14,20000
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-14,25000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-14,30000
"Minnesota","Swift","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-13,160000
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-13,76000
"Minnesota","Le Sueur","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-11,21500
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-11,38000
"Wisconsin","Jefferson","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-04-11,189100
"South Dakota","McPherson","Central","Commercial","turkey","EA/AM-H5N2",2015-04-10,55200
